from_month,from_year,to_month,to_year,province,district,f_sub_borrowers_tot,f_sub_disbursed,f_sub_recovered,f_sub_borrowers_out,f_sub_outstanding,f_eco_borrowers_tot,f_eco_disbursed,f_eco_recovered,f_eco_borrowers_out,f_eco_outstanding,f_abv_borrowers_tot,f_abv_disbursed,f_abv_rabvvered,f_abv_borrowers_out,f_abv_outstanding,nf_sf_borrowers_tot,nf_sf_disbursed,nf_sf_recovered,nf_sf_borrowers_out,nf_sf_outstanding,nf_lf_borrowers_tot,nf_lf_disbursed,nf_lf_recovered,nf_lf_borrowers_out,nf_lf_outstanding,,,,,
7,2021,6,2022,Punjab,Attock,2108.000,6880851.000,5160526143.000,2039.000,694034784.000,76.000,950346.000,1080199.000,152.000,790331.000,12.000,6200288.000,6060703.000,23.000,410258.000,5576.000,912082114.000,738042383.000,7541.000,9270446.000,26.000,282018.000,2480253.000,33.000,1950815.000,,,,,
7,2021,6,2022,Punjab,Bahawalnagar,56705.000,91170526.000,88860430933.000,77868.000,10635067213.000,2731.000,44984784.000,44401169.000,2997.000,2317068.000,559.000,49350123.000,29420952.000,603.000,16480653.000,80884.000,9729046705.000,6614010958.000,102875.000,11329055764.000,4160.000,20000033.000,21280524.000,8094.000,21450845.000,,,,,
7,2021,6,2022,Punjab,Bahawalpur,48522.000,111450845.000,105260845402.000,68286.000,9490042731.000,1907.000,33990825.000,33960425.000,2017.000,17570784.000,413.000,26180211.000,27240733.000,328.000,1693082.000,61719.000,7450016555.000,5311013149.000,78953.000,8487065709.000,5639.000,47350037.000,38970867.000,8921.000,29000224.000,,,,,
7,2021,6,2022,Punjab,Bhakkar,22731.000,35820859.000,33510355569.000,35879.000,4693077337.000,1376.000,12480357.000,12740115.000,2597.000,12290607.000,104.000,13100875.000,1217099.000,139.000,301035.000,17208.000,2188057877.000,1831019139.000,27258.000,304804757.000,1925.000,5090738.000,3360573.000,2774.000,630052.000,,,,,
7,2021,6,2022,Punjab,Chakwal,3562.000,5430841.000,4750345976.000,3554.000,639067043.000,82.000,1210028.000,940459.000,189.000,1190985.000,11.000,4330055.000,4240541.000,13.000,270345.000,5784.000,783000834.000,73003156.000,7162.000,872098597.000,45.000,11320395.000,8350892.000,64.000,4020787.000,,,,,
7,2021,6,2022,Punjab,Chiniot,5955.000,17870941.000,18880264634.000,7779.000,1338042839.000,794.000,13030833.000,12520384.000,1076.000,7940324.000,215.000,1648045.000,16150975.000,170.000,4620153.000,8238.000,1827003435.000,1527074359.000,8628.000,1797077217.000,1359.000,7630697.000,6320921.000,2010.000,6240128.000,,,,,
7,2021,6,2022,Punjab,D.G.Khan,14027.000,27230822.000,21200536226.000,15133.000,2298042548.000,1002.000,12960465.000,13040038.000,1172.000,8980217.000,143.000,17220949.000,15240913.000,153.000,5590413.000,13932.000,1885085562.000,1244087848.000,17404.000,2039027594.000,932.000,4710714.000,4510867.000,1505.000,4350431.000,,,,,
7,2021,6,2022,Punjab,Faisalabad,20416.000,38630813.000,34860907126.000,29300.000,3945031524.000,1526.000,26900258.000,25810216.000,2069.000,14470054.000,471.000,130620513.000,98900965.000,359.000,27890885.000,20529.000,4342069829.000,320600511.000,23501.000,4360035151.000,4393.000,141080365.000,110340713.000,7966.000,62180289.000,,,,,
7,2021,6,2022,Punjab,Gujranwala,11001.000,29480422.000,43740087454.000,13132.000,3052002425.000,2354.000,42890073.000,41690231.000,2328.000,19410877.000,506.000,41630957.000,36270883.000,518.000,13180475.000,26413.000,7158066813.000,4356072738.000,29899.000,6907062511.000,1851.000,61880798.000,57060206.000,2551.000,20330741.000,,,,,
7,2021,6,2022,Punjab,Gujrat,6876.000,10390918.000,10940340511.000,7197.000,1085078007.000,102.000,1540412.000,1670396.000,164.000,1290514.000,24.000,730147.000,280978.000,36.000,700715.000,11560.000,2586087715.000,2914049108.000,12977.000,2510030985.000,177.000,4320383.000,3660153.000,361.000,2720395.000,,,,,
7,2021,6,2022,Punjab,Hafizabad,6906.000,21610629.000,25250960047.000,9496.000,2347085864.000,1348.000,25870999.000,25490464.000,1806.000,13420032.000,151.000,21890242.000,20960076.000,139.000,414059.000,15758.000,3419088213.000,2424060809.000,19870.000,3623017529.000,963.000,17920074.000,16330087.000,1330.000,6900565.000,,,,,
7,2021,6,2022,Punjab,Islamabad,401.000,200180667.000,122200592.000,552.000,131330543.000,14.000,5760243.000,5350843.000,15.000,470177.000,29.000,679440268.000,707530502.000,42.000,128160004.000,1143.000,5190335.000,2020308.000,1748.000,5170138.000,198.000,322860996.000,303680505.000,141.000,122390892.000,,,,,
7,2021,6,2022,Punjab,Jehlum,1914.000,311091.000,3240981306.000,1693.000,307038089.000,38.000,6200903.000,36078.000,100.000,6370753.000,6.000,11630707.000,11330947.000,9.000,790793.000,2980.000,490078486.000,574039019.000,3888.000,544034616.000,67.000,1720327.000,1080644.000,74.000,149053.000,,,,,
7,2021,6,2022,Punjab,Jhang,25576.000,4849072.000,42200812361.000,37228.000,4917033432.000,1229.000,22750257.000,21970181.000,1509.000,12130499.000,310.000,33010609.000,29350533.000,292.000,10820929.000,37716.000,7050097736.000,4225099727.000,43107.000,7242016057.000,6997.000,30000054.000,35450285.000,13803.000,34900957.000,,,,,
7,2021,6,2022,Punjab,Kasur,15284.000,34180494.000,36870274222.000,16809.000,3155063688.000,1151.000,20750412.000,20270082.000,1445.000,11710946.000,146.000,14130993.000,12180464.000,175.000,5170464.000,14923.000,2952054071.000,2749030448.000,18269.000,2786056739.000,1888.000,30730504.000,21280028.000,2384.000,19050515.000,,,,,
7,2021,6,2022,Punjab,Khanewal,21682.000,49880837.000,47970416107.000,29808.000,428201869.000,1399.000,26080418.000,25460857.000,1537.000,10870517.000,364.000,38900452.000,27720178.000,469.000,10410646.000,39233.000,4800047511.000,3631030334.000,43545.000,4910047743.000,3000.000,39120073.000,19070034.000,3670.000,1476043.000,,,,,
7,2021,6,2022,Punjab,Khushab,8434.000,10980205.000,11790834856.000,10631.000,1290072674.000,625.000,5920094.000,5280797.000,848.000,5360282.000,101.000,13450926.000,1245013.000,122.000,3000898.000,11030.000,1529076566.000,1558087187.000,14633.000,1695029878.000,58.000,5170817.000,5210815.000,86.000,175037.000,,,,,
7,2021,6,2022,Punjab,Lahore,4471.000,93240383.000,115610118171.000,5463.000,3945072936.000,287.000,4200363.000,483068.000,499.000,5220549.000,231.000,544550645.000,624170922.000,464.000,147710089.000,6344.000,4894063349.000,4215060823.000,8191.000,2988010627.000,3125.000,1853530797.000,178492028101431.000,1417.000,31473018.000,,,,,
