id,district,province,distance_km
NA-1,PESHAWAR,KHYBER PAKHTUNKHWA,147.3533604
NA-10,MARDAN,KHYBER PAKHTUNKHWA,115.4671561
NA-100,GUJRANWALA,PUNJAB,237.3132927
NA-101,GUJRANWALA,PUNJAB,204.6725111
NA-102,HAFIZABAD,PUNJAB,220.8982384
NA-103,HAFIZABAD,PUNJAB,236.8495827
NA-104,GUJRAT,PUNJAB,180.1985663
NA-105,GUJRAT,PUNJAB,188.0529578
NA-106,GUJRAT,PUNJAB,164.6568914
NA-107,GUJRAT,PUNJAB,147.2195437
NA-108,MANDI BAHAUDIN,PUNJAB,178.7251622
NA-109,MANDI BAHAUDIN,PUNJAB,188.8733464
NA-11,MARDAN,KHYBER PAKHTUNKHWA,94.57917283
NA-110,SIALKOT,PUNJAB,214.4811298
NA-111,SIALKOT,PUNJAB,202.686683
NA-112,SIALKOT,PUNJAB,209.0609676
NA-113,SIALKOT,PUNJAB,237.3355984
NA-114,SIALKOT,PUNJAB,236.1824397
NA-115,NAROWAL,PUNJAB,255.6122034
NA-116,NAROWAL,PUNJAB,276.3614412
NA-117,NAROWAL,PUNJAB,271.1509156
NA-118,LAHORE,PUNJAB,291.5169545
NA-119,LAHORE,PUNJAB,294.8238078
NA-12,SAWABI,KHYBER PAKHTUNKHWA,77.60817662
NA-120,LAHORE,PUNJAB,297.1467561
NA-121,LAHORE,PUNJAB,300.5788825
NA-122,LAHORE,PUNJAB,300.3898423
NA-123,LAHORE,PUNJAB,293.9233699
NA-124,LAHORE,PUNJAB,297.2672866
NA-125,LAHORE,PUNJAB,307.245536
NA-126,LAHORE,PUNJAB,307.3547731
NA-127,LAHORE,PUNJAB,313.0678648
NA-128,LAHORE,PUNJAB,314.2744328
NA-129,LAHORE,PUNJAB,321.1342412
NA-13,SAWABI,KHYBER PAKHTUNKHWA,61.51945429
NA-130,LAHORE,PUNJAB,306.4078645
NA-131,SHAIKHUPURA,PUNJAB,273.0402637
NA-132,SHAIKHUPURA,PUNJAB,292.3973904
NA-133,SHAIKHUPURA,PUNJAB,276.0517678
NA-134,SHAIKHUPURA,PUNJAB,259.7936061
NA-135,SHAIKHUPURA,PUNJAB,276.6210325
NA-136,SHAIKHUPURA,PUNJAB,281.4717649
NA-137,NANKANA SAHAB,PUNJAB,290.2798479
NA-138,KASUR,PUNJAB,334.8603221
NA-139,KASUR,PUNJAB,353.095058
NA-14,KOHAT,KHYBER PAKHTUNKHWA,166.4587782
NA-140,KASUR,PUNJAB,366.9652692
NA-141,KASUR,PUNJAB,351.3381164
NA-142,KASUR,PUNJAB,331.0827125
NA-143,OKARA,PUNJAB,348.5488971
NA-144,OKARA,PUNJAB,376.9611671
NA-145,OKARA,PUNJAB,360.7568921
NA-146,OKARA,PUNJAB,384.9788517
NA-147,OKARA,PUNJAB,398.6371964
NA-148,MULTAN,PUNJAB,460.0719688
NA-149,MULTAN,PUNJAB,464.1169242
