id,district,province,distance_isb
NA-36,MOHAMDAN AGENCY,FATA,173.1887638
NA-37,KURAM AGENCY,FATA,268.0032249
NA-38,KURAM AGENCY,FATA,234.7687737
NA-39,ORAKZAI AGENCY,FATA,182.5000116
NA-40,NORTH WAZIRASTAN,FATA,287.9001981
NA-41,SOUTH WAZIRASTAN,FATA,353.1555754
NA-42,SOUTH WAZIRASTAN,FATA,306.8904317
NA-43,BAJAUR AGENCY,FATA,191.2666113
NA-44,BAJAUR AGENCY,FATA,172.3272808
NA-46,KHYBER AGENCY,FATA,184.8481387
NA-45,KHYBER AGENCY,FATA,169.0390068
NA-47,F.R AREAS,FATA,275.7225676
NA-260,"QUETTA, CHANGAI AND MASTANG",BALOCHISTAN,1013.308241
NA-259,QUETTA,BALOCHISTAN,671.4305038
NA-261,PISHIN AND ZIARAT,BALOCHISTAN,634.0844216
NA-262,KILA ABDULLAH,BALOCHISTAN,671.926328
NA-263,"LORALAI, MUSA KHEL AND BARKHAN",BALOCHISTAN,501.0760685
NA-264,ZOB AN KILHA SIAFULLAH,BALOCHISTAN,477.7559766
NA-265,"SIBI, KOHLU,HARNAI AND DERA BUGTI",BALOCHISTAN,627.8571291
NA-266,NASIRABAD AND JAFFARABAD,BALOCHISTAN,737.4032559
NA-267,"KACHI, JHAL MAGSI",BALOCHISTAN,733.5939646
NA-268,KALAT AN MASTANG,BALOCHISTAN,781.4861312
NA-269,KHUZDAR,BALOCHISTAN,916.6654466
NA-270,AWARAN AN LASBELA,BALOCHISTAN,1088.847046
NA-271,KHARN AND PANJGUR,BALOCHISTAN,1053.155384
NA-272,KECH AND GAWADAR,BALOCHISTAN,1292.215015
NA-17,ABBOTTABAD,KHYBER PAKHTUNKHWA,63.34132574
NA-26,BANU,KHYBER PAKHTUNKHWA,230.0754248
NA-22,BATTAGRAM,KHYBER PAKHTUNKHWA,124.7693643
NA-28,BUNER,KHYBER PAKHTUNKHWA,96.57600094
NA-8,CHARSADA,KHYBER PAKHTUNKHWA,138.4384504
NA-32,CHITRAL,KHYBER PAKHTUNKHWA,291.3014202
NA-16,HANGU,KHYBER PAKHTUNKHWA,197.7902124
NA-19,HARIPUR,KHYBER PAKHTUNKHWA,37.1169396
NA-15,KARAK,KHYBER PAKHTUNKHWA,181.9430359
NA-14,KOHAT,KHYBER PAKHTUNKHWA,133.8621334
NA-23,KOHISTAN,KHYBER PAKHTUNKHWA,184.8683349
NA-27,LAKI MARWAT,KHYBER PAKHTUNKHWA,231.3238181
NA-34,LOWER DIR,KHYBER PAKHTUNKHWA,164.9338002
NA-35,MALAKAND,KHYBER PAKHTUNKHWA,137.0698032
NA-20,MANSEHRA,KHYBER PAKHTUNKHWA,132.2944195
NA-11,MARDAN,KHYBER PAKHTUNKHWA,102.7387962
NA-6,NOWSHERA,KHYBER PAKHTUNKHWA,85.05551326
NA-31,SHANGLA,KHYBER PAKHTUNKHWA,131.7575963
NA-30,SAWAT,KHYBER PAKHTUNKHWA,195.3432517
NA-25,D.I KHAN CUM TANK,KHYBER PAKHTUNKHWA,287.5703518
NA-33,UPPER DIR,KHYBER PAKHTUNKHWA,199.0123275
NA-7,CHARSADA,KHYBER PAKHTUNKHWA,121.8853445
NA-29,SAWAT,KHYBER PAKHTUNKHWA,136.8528954
NA-5,NOWAHERAA,KHYBER PAKHTUNKHWA,103.9890068
NA-24,D.I KHAN,KHYBER PAKHTUNKHWA,293.4961059
NA-9,MARDAN,KHYBER PAKHTUNKHWA,99.51917895
NA-10,MARDAN,KHYBER PAKHTUNKHWA,119.6751078
