psu,a7,a8,relprac,floodrisk,pop1011_UNOSAT,dem_mean,dem_std,neigh_Rivers,centdist_MRiver,flood_exp,violent_vignette,effective,approve,vv_pop1011_UNOSAT,male,headh,age,read,math,educ,sunni,knowfullpca,simpleknow,vv_flood_exp
422,Chaghi,Dalbandin,.46666667,.10679143,0,1.0251069,.2913112,0,4.9169178,0,1,.75,1,0,1,0,.25999999,0,0,0,1,2.1312859,.69999999,0
569,Chaghi,Dalbandin,.66666669,.10679143,0,1.0251069,.2913112,0,4.9169178,0,1,.75,.75,0,0,0,.38999999,0,0,0,1,2.6317384,.89999998,0
735,Chaghi,Dalbandin,.5,.10679143,0,1.0251069,.2913112,0,4.9169178,0,1,.75,.75,0,1,0,.27000001,1,1,.33333334,1,1.8195233,.60000002,0
28,Chaghi,Dalbandin,.26666668,.10679143,0,1.0251069,.2913112,0,4.9169178,0,1,1,1,0,0,0,.23999999,0,1,.33333334,1,2.5949819,.80000001,0
569,Chaghi,Dalbandin,.66666669,.10679143,0,1.0251069,.2913112,0,4.9169178,0,1,.75,.75,0,0,0,.25,0,0,0,1,3.0063336,1,0
569,Chaghi,Dalbandin,.66666669,.10679143,0,1.0251069,.2913112,0,4.9169178,0,1,.75,.75,0,0,0,.25999999,0,0,0,1,3.0063336,1,0
569,Chaghi,Dalbandin,.5,.10679143,0,1.0251069,.2913112,0,4.9169178,0,1,1,1,0,0,0,.30000001,1,1,0,1,3.0063336,1,0
1075,Chaghi,Taftan,.46666667,.028309176,0,.78830034,.26380378,0,6.8563738,0,0,1,1,0,1,1,.37,1,1,.16666667,1,1.8195233,.60000002,0
28,Chaghi,Dalbandin,.66666669,.10679143,0,1.0251069,.2913112,0,4.9169178,0,1,.75,.75,0,0,0,.38999999,1,0,.33333334,1,3.0063336,1,0
639,Chaghi,Dalbandin,.66666669,.10679143,0,1.0251069,.2913112,0,4.9169178,.66600001,1,0,0,0,0,0,.30000001,0,0,0,1,2.4313924,.80000001,.66600001
