constituency_number,constituency_name,district
NA-11,Abbottabad-Cum-Haripur 1,Abbottabad
NA-12,Abbottabad-Cum-Haripur 1,Abbottabad
PK-44,Abbottabad-I,Abbottabad
PK-45,Abbottabad-Ii,Abbottabad
PK-46,Abbottabad-Iii,Abbottabad
PK-47,Abbottabad-Iv,Abbottabad
PK-48,Abbottabad-V,Abbottabad
NA-41,Attock 1,Attock
NA-42,Attock 2,Attock
PP-15,Attock-I,Attock
PP-16,Attock-Ii,Attock
PP-17,Attock-Iii,Attock
PP-18,Attock-Iv,Attock
PP-19,Attock-V,Attock
NA-270,Awaran-Cum-Lasbela,Awaran
PB-41,Awaran.,Awaran
NA-172,Badin 1,Badin
NA-224,Badin 1,Badin
NA-173,Badin 2,Badin
NA-225,Badin 2,Badin
PS-55,Badin-Cum- T.m.khan,Badin
PS-59,Badin-Cum-T.m. Khan,Badin
PS-56,Badin-Cum-T.m.khan,Badin
PS-57,Badin-I,Badin
PS-58,Badin-Ii,Badin
NA-144,Bahawalnagar 1,Bahawalnagar
NA-145,Bahawalnagar 2,Bahawalnagar
NA-146,Bahawalnagar 3,Bahawalnagar
PP-277,Bahawalnagar-I,Bahawalnagar
PP-278,Bahawalnagar-Ii,Bahawalnagar
PP-280,Bahawalnagar-Iv,Bahawalnagar
PP-282,Bahawalnagar-Vi,Bahawalnagar
PP-283,Bahawalnagar-Vii,Bahawalnagar
PP-284,Bahawalnagar-Viii,Bahawalnagar
NA-141,Bahawalpur 1,Bahawalpur
NA-142,Bahawalpur 2,Bahawalpur
NA-143,Bahawalpur 3,Bahawalpur
PP-267,Bahawalpur-I,Bahawalpur
PP-268,Bahawalpur-Ii,Bahawalpur
PP-269,Bahawalpur-Iii,Bahawalpur
PP-270,Bahawalpur-Iv,Bahawalpur
PP-275,Bahawalpur-Ix,Bahawalpur
PP-271,Bahawalpur-V,Bahawalpur
PP-272,Bahawalpur-Vi,Bahawalpur
PP-273,Bahawalpur-Vii,Bahawalpur
PP-274,Bahawalpur-Viii,Bahawalpur
PP-276,Bahawalpur-X,Bahawalpur
PP-279,Bahwalnagar-Iii,Bahwalnagar
PP-281,Bahwalnagar-V,Bahwalnagar
NA-19,Bannu,Bannu
PK-70,Bannu-I,Bannu
PK-71,Bannu-Ii,Bannu
PK-72,Bannu-Iii,Bannu
PK-73,Bannu-Iv,Bannu
PB-17,Barkhan.,Barkhan
NA-16,Battagram-Cum-Mansehra,Battagram
PK-59,Battagram-I,Battagram
PK-60,Battagram-Ii,Battagram
NA-55,Bhakkar 1,Bhakkar
NA-56,Bhakkar 2,Bhakkar
PP-47,Bhakkar-I,Bhakkar
PP-48,Bhakkar-Ii,Bhakkar
PP-49,Bhakkar-Iii,Bhakkar
PP-50,Bhakkar-Iv,Bhakkar
PB-30,Bolan-I,Bolan
PB-31,Bolan-Ii.,Bolan
NA-23,Buner-Cum-Swat,Buner
PK-77,Buner-I,Buner
PK-78,Buner-Ii,Buner
PK-79,Buner-Iii,Buner
PB-39,Chagai-I,Chaga
NA-43,Chakwal 1,Chakwa
NA-44,Chakwal 2,Chakwa
PP-20,Chakwal-I,Chakwa
PP-21,Chakwal-Ii,Chakwal
PP-22,Chakwal-Iii,Chakwal
PP-23,Chakwal-Iv,Chakwal
NA-5,Charsadda,Charsadda
PK-17,Charsadda-I,Charsadda
PK-18,Charsadda-Ii,Charsadda
PK-19,Charsadda-Iii,Charsadda
PK-20,Charsadda-Iv,Charsadda
PK-21,Charsadda-V,Charsadda
PK-22,Charsadda-Vi,Charsadda
NA-24,Chitral,Chitra
PK-89,Chitral-I,Chitra
PK-90,Chitral-Ii,Chitral
PK-64,D.i.khan-I,Dikhan
PK-65,D.i.khan-Ii,Dikhan
PK-66,D.i.khan-Iii,Dikhan
PK-68,D.i.khan-V,Dikhan
NA-177,Dadu 1,Dadu
NA-231,Dadu 1,Dadu
NA-178,Dadu 2,Dadu
NA-232,Dadu 2,Dadu
NA-233,Dadu 3,Dadu
NA-179,Dadu 3,Dadu
PS-74,Dadu-I,Dadu
PS-75,Dadu-Ii,Dadu
PS-76,Dadu-Iii,Dadu
PS-77,Dadu-Iv,Dadu
PB-24,Dera Bugti.,Dera Bugti
NA-132,Dera Ghazi Khan,Dera Ghazi Khan
NA-133,Dera Ghazi Khan-Cum-Rajanpur,Dera Ghazi Khan
PP-240,Dera Ghazi Khan-I,Dera Ghazi Khan
PP-241,Dera Ghazi Khan-Ii,Dera Ghazi Khan
PP-242,Dera Ghazi Khan-Iii,Dera Ghazi Khan
PP-243,Dera Ghazi Khan-Iv,Dera Ghazi Khan
PP-244,Dera Ghazi Khan-V,Dera Ghazi Khan
PP-245,Dera Ghazi Khan-Vi,Dera Ghazi Khan
PP-246,Dera Ghazi Khan-Vii,Dera Ghazi Khan
NA-18,Dera Ismail Khan-Cum-Tank,Dera Ismail Khan
PK-67,Dera Ismail Khan-Iv,Dera Ismail Khan
NA-25,Dir,Dir
NA-57,Faisalabad 1,Faisalabad
NA-58,Faisalabad 2,Faisalabad
NA-59,Faisalabad 3,Faisalabad
NA-60,Faisalabad 4,Faisalabad
NA-61,Faisalabad 5,Faisalabad
NA-62,Faisalabad 6,Faisalabad
NA-63,Faisalabad 7,Faisalabad
NA-64,Faisalabad 8,Faisalabad
NA-65,Faisalabad 9,Faisalabad
PP-51,Faisalabad-I,Faisalabad
PP-52,Faisalabad-Ii,Faisalabad
PP-53,Faisalabad-Iii,Faisalabad
PP-54,Faisalabad-Iv,Faisalabad
PP-59,Faisalabad-Ix,Faisalabad
PP-55,Faisalabad-V,Faisalabad
PP-56,Faisalabad-Vi,Faisalabad
PP-57,Faisalabad-Vii,Faisalabad
PP-58,Faisalabad-Viii,Faisalabad
PP-60,Faisalabad-X,Faisalabad
PP-61,Faisalabad-Xi,Faisalabad
PP-62,Faisalabad-Xii,Faisalabad
PP-63,Faisalabad-Xiii,Faisalabad
PP-64,Faisalabad-Xiv,Faisalabad
PP-69,Faisalabad-Xix,Faisalabad
PP-65,Faisalabad-Xv,Faisalabad
PP-66,Faisalabad-Xvi,Faisalabad
PP-67,Faisalabad-Xvii,Faisalabad
PP-68,Faisalabad-Xviii,Faisalabad
PP-70,Faisalabad-Xx,Faisalabad
PP-71,Faisalabad-Xxi,Faisalabad
PP-72,Faisalabad-Xxii,Faisalabad
NA-153,Ghotki,Ghotki
PS-5,Ghotki-I,Ghotk
PS-6,Ghotki-Ii,Ghotki
PS-7,Ghotki-Iii,Ghotki
PS-8,Ghotki-Iv,Ghotki
NA-74,Gujranwala 1,Gujranwala
NA-76,Gujranwala 3,Gujranwala
