gid_1,name_1,gid_2,name_2,paymentyear,comm_total_all,disb_total_all,comm_health_all,disb_health_all,comm_repro_all,disb_repro_all,comm_total_all_ngo,disb_total_all_ngo,comm_health_all_ngo,disb_health_all_ngo,comm_repro_all_ngo,disb_repro_all_ngo,comm_health_all_ngo_nonus,disb_health_all_ngo_nonus,comm_total_us,disb_total_us,comm_health_us,disb_health_us,comm_repro_us,disb_repro_us,comm_total_us_ngo,disb_total_us_ngo,comm_health_us_ngo,disb_health_us_ngo,comm_repro_us_ngo,disb_repro_us_ngo,comm_health_us_ngo_nonus,disb_health_us_ngo_nonus,comm_total_eu,disb_total_eu,comm_health_eu,disb_health_eu,comm_repro_eu,disb_repro_eu,comm_total_eu_ngo,disb_total_eu_ngo,comm_health_eu_ngo,disb_health_eu_ngo,comm_repro_eu_ngo,disb_repro_eu_ngo,comm_health_eu_ngo_nonus,disb_health_eu_ngo_nonus,comm_total_other,disb_total_other,comm_health_other,disb_health_other,comm_repro_other,disb_repro_other,comm_total_other_ngo,disb_total_other_ngo,comm_health_other_ngo,disb_health_other_ngo,comm_repro_other_ngo,disb_repro_other_ngo,comm_health_other_ngo_nonus,disb_health_other_ngo_nonus
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2002,19152476.1182987,718217.854436202,19152476.1182987,718217.854436202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19152476.1182987,718217.854436202,19152476.1182987,718217.854436202,0,0,0,0,0,0,0,0,0,0
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2003,41739443.5604586,1142585.10513932,0,1142585.10513932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41739443.5604586,1142585.10513932,0,1142585.10513932,0,0,0,0,0,0,0,0,0,0
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2004,0,7041664.60045306,0,3706463.14583542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7041664.60045306,0,3706463.14583542,0,0,0,0,0,0,0,0,0,0
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2005,225308807.732244,8698650.26062881,35467959.8883856,3132374.81447596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225308807.732244,8698650.26062881,35467959.8883856,3132374.81447596,0,0,0,0,0,0,0,0,0,0
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2006,0,157778957.154458,0,5616737.10842044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157778957.154458,0,5616737.10842044,0,0,0,0,0,0,0,0,0,0
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2007,0,43025120.1900331,0,3328264.95871111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43025120.1900331,0,3328264.95871111,0,0,0,0,0,0,0,0,0,0
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2008,0,23401495.7389123,0,10009574.9167586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23401495.7389123,0,10009574.9167586,0,0,0,0,0,0,0,0,0,0
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2009,542187179.289675,36742872.1150837,0,8624102.75021148,0,0,34026948.0797989,2826822.74003845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542187179.289675,36742872.1150837,0,8624102.75021148,0,0,34026948.0797989,2826822.74003845,0,0,0,0,0,0
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2010,0,29849104.49693,0,7568239.48233224,0,0,0,3164634.84182616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29849104.49693,0,7568239.48233224,0,0,0,3164634.84182616,0,0,0,0,0,0
PAK.1_1,Azad Kashmir,PAK.1.1_1,Azad Kashmir,2011,39535775.1498403,160741980.619997,0,2065945.49829373,0,0,9400.201171875,4087204.55004284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9400.201171875,9400.201171875,0,0,0,0,9400.201171875,9400.201171875,0,0,0,0,0,0,39526374.9486684,160732580.418825,0,2065945.49829373,0,0,0,4077804.34887096,0,0,0,0,0,0
