strikes,date,village,region,year,leaders_killed,leader_names,leader_description,militants_low,militants_high,militants_avg,unknown_low,unknown_high,unknown_avg,civilians_low,civilians_high,civilians_avg,total_low,total_high,total_avg,president_name,president_number,target_type,target_description,target_organization_name,target_group,geo_lat,geo_lon,province,strike_type,Source,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,OBJECTID,PROVINCE_2,DISTRICT,PA
true,6/19/2004,Wana,South Waziristan,2004,1,Nek Muhammad,"Commander, Taliban",1,1,1,5,5,5,1,1,1,7,7,7,Bush,43,House,Nek Muhammad,Taliban,1. Taliban,32.307446,69.56543,Federally Administered Tribal Areas,,New York Times,CNN,New York Times,,,,,,,,
true,5/8/2005,"Toorikhel, Mirali",North Waziristan,2005,1,Haitham al-Yemeni,"Explosives expert, al Qaeda",2,2,2,,,,,,,2,2,2,Bush,43,Unclear,Haitham al-Yemeni,Al-Qaeda,3. Al-Qaeda,32.987644,70.261345,Federally Administered Tribal Areas,,Washington Post,NBC,,,,,,,,,
true,11/5/2005,Haisori,North Waziristan,2005,0,,,0,0,0,4,4,4,4,4,4,8,8,8,Bush,43,House,Abu Hamza Rabia,Al-Qaeda,3. Al-Qaeda,33.010391,70.043335,Federally Administered Tribal Areas,,Christian Science Monitor,CNN,,,,,,,,,
true,12/1/2005,Patasi Adda,North Waziristan,2005,1,Abu Hamza Rabia,"Senior Commander, al Qaeda",3,3,3,2,2,2,0,0,0,5,5,5,Bush,43,Unclear,Abu Hamza Rabia,Al-Qaeda,3. Al-Qaeda,32.09686,70.2657,Federally Administered Tribal Areas,,Washington Post,CNN,Telegraph,,,,,85,KHYBER PAKHTUNKHWA,TANK,PK-69
true,1/6/2006,Damadola,Bajaur,2006,0,,,0,0,0,0,0,0,8,18,13,8,18,13,Bush,43,Gathering,"Abu Khabab al Masri, Ayman al-Zawahiri",Al-Qaeda,3. Al-Qaeda,34.801682,71.472588,Federally Administered Tribal Areas,,CNN,,,,,,,,,,
true,10/30/2006,"Chenagai, six miles north of Khar",Bajaur,2006,,,,1,1,1,,,,79,81,80,80,82,81,Bush,43,House,,Al-Qaeda,3. Al-Qaeda,34.841988,71.49765,Federally Administered Tribal Areas,,AP,BBC,Dawn,IPS,New York Times,Post,Post,,,,
true,1/16/2007,"Salamat Keley, Zamazola",South Waziristan,2007,0,,,12,22,17,8,8,8,,,,20,30,25,Bush,43,Training camp,,Al-Qaeda,3. Al-Qaeda,32.844982,69.56543,Federally Administered Tribal Areas,,Reuters,BBC,Wash Post,,,,,,,,
true,4/27/2007,"Danda Saidgai, 15 km north of Miram Shah",North Waziristan,2007,0,,,0,0,0,3,4,3.5,,,,3,4,3.5,Bush,43,House,,Taliban,1. Taliban,33.109947,70.068054,Federally Administered Tribal Areas,,Daily Times of Pakistan,Dawn,Reuters,,,,,,,,
true,6/19/2007,"Mami Rogha, 26 miles west of Miram Shah",North Waziristan,2007,0,,,20,34,27,,,,,,,20,34,27,Bush,43,Training camp,,Al-Qaeda,3. Al-Qaeda,32.991386,70.291901,Federally Administered Tribal Areas,,Reuters,,,,,,,,,,
true,11/2/2007,Outside Miram Shah,North Waziristan,2007,0,,,5,9,7,,,,,,,5,9,7,Bush,43,Compound,,Taliban,1. Taliban,32.992538,70.098953,Federally Administered Tribal Areas,,New York Times,,,,,,,,,,
