district,year,att_on_Business,att_on_Government_General,att_on_Police,att_on_Military,att_on_No_Name,att_on_Airports_Aircraft,att_on_Government_Diplomatic,att_on_Educational_Inst,att_on_Food_or_Water_Supply,att_on_Journalists_Media,att_on_Maritime,att_on_NGO,att_on_Other,att_on_Private_Citizens_Prop,att_on_Religious_Figures_Inst,att_on_Telecommunication,att_on_Terror_Non_State_M,att_on_Tourists,att_on_Transportation,att_on_Unknown,att_on_Utilities,att_on_Violent_Political_Party,attack_type_8_success,attack_type_8_fail,total_attacks,nkill,nwound,property,total_pop2,total_pop_982,total_att_on_law_enf,total_attcks_calculated,total_att_others,province
Abbottabad,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1602237,1046110,0,0,0,Khyber Pakhtunkhwa
Astore,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71666,100000,0,0,0,Gilgit Baltistan
Attock,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886378,1274935,0,0,0,Punjab
Awaran,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103431,95743,0,0,0,Balochistan
Badin,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1795400,1118510,0,0,0,Sindh
Bagh,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171566,103725,0,0,0,Azad Kashmir
Bahawalnagar,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2975656,2061447,0,0,0,Punjab
Bahawalpur,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3093290,2046053,0,0,0,Punjab
Bajaur,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090987,595227,0,0,0,Khyber Pakhtunkhwa
Bannu,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1414772,827928,0,0,0,Khyber Pakhtunkhwa
Barkhan,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171025,103545,0,0,0,Balochistan
Batagram,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476749,307278,0,0,0,Khyber Pakhtunkhwa
Bhakkar,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647852,1051456,0,0,0,Punjab
Bhimber,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169692,103465,0,0,0,Azad Kashmir
Buner,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895460,506048,0,0,0,Khyber Pakhtunkhwa
Central Karachi,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2525035,1922990,0,0,0,Sindh
Chagai,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226517,104534,0,0,0,Balochistan
Chakwal,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369693,988099,0,0,0,Punjab
Chaman,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434561,151854,0,0,0,Balochistan
